,Community 0,Community 1,Community 2,Community 3,Community 4,Community 5,Community 6,Community 7,Community 8,Community 9,Community 10,Community 11,Community 12,Community 13,Community 14,Community 15,Community 16,Community 17,Community 18,Community 19,ID,City,State,Latitude,Longitude,MeanAnnual Temperature,MeanAnnualPrecipitation,NetPrimaryProductivity,Elevation,Residence,NumberBedroooms
890,0.14584806935697672,6.454194629056108e-07,0.364901962492796,6.454194721566141e-07,0.001424538249657853,0.21285698632740976,6.454194733089923e-07,0.009312388090320584,6.454194754785838e-07,6.45419471951259e-07,0.0013232227024531646,0.015715545464981034,6.454194734784688e-07,6.454194694956588e-07,0.15638154310625071,0.0029440873472557096,0.0008848965973204518,0.018719510369071057,0.009444754465750856,0.060237977493457426,890,Ladson,SC,33.0,-80.1,17.87706422,100.5048165,2.986409751,21.74305534,One-family house detached from any other house,3
825,0.015776306866900763,4.861070633986627e-07,0.2956787137452444,0.0003981242657495112,4.861070637455716e-07,0.10520010654938679,0.007195809883386038,1.8992011008570958e-05,0.030634327780146617,0.005229059678876056,4.861070653647747e-07,0.012981211763694453,0.025852838008846135,0.001017967278944494,0.018690120146186148,8.861626471724932e-05,0.00026329467984770837,0.024802436656699137,0.20579660954607726,0.25037400655309633,825,Seymour,IN,38.9,-85.9,12.33723242,91.01712538,1.084153545,199.2644501,One-family house detached from any other house,4
143,4.0080803519993796e-07,4.008080302306583e-07,0.004826869187483562,4.008080320334716e-07,0.6438039171678762,4.008080374554984e-07,0.06311083928064394,4.008080544716722e-07,0.01469278339211246,4.0080803475502057e-07,4.008080348193825e-07,4.008080348976647e-07,4.0080803829340377e-07,0.00027487958235638247,4.0080803888595425e-07,0.0013942314905742933,0.00017228552595262699,0.1410112653533253,0.08285773810501046,0.047851182834293626,143,Chico,CA,39.7,-121.8,14.7559633,71.67958716,1.623220774,300.1264038,One-family house detached from any other house,4
209,0.01412536285048738,0.010309171378652282,0.2890365441665611,0.008215841135234941,0.004934526568864259,0.5745347511983341,8.21692700023633e-07,0.000633421862910442,0.0018253582890777641,8.216926940306238e-07,0.001110989743947886,0.0011471427764360106,8.216927046262954e-07,0.0006303890439769761,0.021133091817565,0.0011959600702581598,0.002543459124160845,0.000676715786247247,0.049026145557933054,0.01891866355125387,209,Wilmington,NC,34.2,-77.9,17.57576453,113.565367,2.933790122,6.412473679,"Low rise apartment (multiple units, with 4 or fewer stories)",1
896,0.764255148747111,2.7346336982040673e-05,0.033696673177688256,2.999328200877523e-07,0.006539369810135581,0.005226708495567211,0.06167856074519082,0.0007601762780979543,0.018779150628373258,2.999328172133666e-07,0.001577450025022439,0.00037458864378720575,0.000806714693361123,0.004994118981968714,0.009333443608307767,0.003938172113836409,0.001564221304245334,0.004008125133258796,0.023961934510133186,0.05847749690129568,896,salem,OH,40.9,-80.8,9.530351682000001,80.10229358,1.774644156,341.92721560000007,Duplex or two-family house (designed for two families),2
963,0.009498981701451088,6.663290616335608e-07,0.21838128857351546,0.014108049527755781,0.00476163336920235,0.2370056260746298,0.3674710962921576,6.663290603564175e-07,0.014188167971579164,6.663290677410271e-07,0.07624077462669744,0.028002833986498592,6.663290685466533e-07,6.663290739656824e-07,0.004353307725599112,0.004327440429540329,0.01985244918820983,0.0018036862296842292,6.663290765856706e-07,6.663290702332332e-07,963,Camas,WA,45.6,-122.4,9.534633028,171.5379205,2.360463346,457.9377747,One-family house detached from any other house,4
902,0.05041594891190862,2.9926321542347424e-07,0.12517296446101345,4.721665982933853e-05,0.03722994074900616,0.22039798647010492,0.035022275039572594,0.012620591916529101,0.0742543899855793,2.9926321852051664e-07,2.9926321950232693e-07,0.0013323909362329821,2.9926322100591973e-07,0.0016990875981527085,0.016038102424250602,2.992632194757588e-07,0.16248652008332112,2.9926322108127115e-07,0.016032588271176887,0.24724820091400737,902,Gaithersburg,MD,39.1,-77.2,12.51139144,88.78639144,1.25412629,137.5811157,One-family house detached from any other house,3
381,2.7565371755088614e-07,6.1431233237576825e-06,0.02683592129940276,2.756537147711773e-07,2.7565371782293904e-07,2.7565371671334753e-07,0.0034484918505463115,1.1425155724276515e-05,0.008221450469811193,2.924831405927765e-05,1.351722121600557e-05,1.42653789453865e-05,0.0012687962455653148,0.00037694831902716764,2.7565371354873323e-07,0.9061044967131454,0.0450883040596581,0.0003493950718584586,2.756537197251834e-07,0.00822994285541625,381,hayward,CA,37.6,-122.1,14.09617737,41.10183486,2.2663915830000003,115.66960139999999,One-family house detached from any other house,6 or more
453,0.008707695520883373,2.691210514908526e-07,0.1768240072109058,0.0009756878401306885,0.3191268715729042,0.18419714290792005,0.10463476040845991,0.12735971339124638,0.00013276619488454826,0.012962023297823685,0.0008381512998324787,2.691210542940509e-07,0.00920956755447236,0.0008340956771826735,0.0024945023272214457,0.008097724020683322,0.00858446847911145,2.6912105702143484e-07,2.6912105559066136e-07,0.035019745812119224,453,Brighton,MA,42.3,-71.2,9.388990826,94.63203364,1.9665732930000002,52.88596344,"Low rise apartment (multiple units, with 4 or fewer stories)",1
804,0.0006237602348990582,3.51825273386286e-07,0.09305772195158074,4.949352962978145e-05,3.518252741914324e-07,0.15464641914365826,0.07050941461841728,0.00025773083031090837,0.22645808812966678,0.006461603938255699,3.518252746627757e-07,0.008389856007152861,0.02178053515877607,0.00026323001642723065,0.03107344666624825,0.005465576602634311,0.0008829141332350639,0.02873498373250491,0.05837795685220335,0.29296621297857717,804,Morgantown,WV,39.7,-79.9,10.47224771,93.08662079999999,1.4530587519999998,471.0052795,One-family house attached to one or more houses (e.g. a townhouse or condominium),3
874,0.00048734613192766475,4.607742858714172e-07,0.0005033491551535848,4.6077428703457737e-07,2.5309213617832585e-05,4.607742961077903e-07,4.6077429700430884e-07,0.990512070614799,4.6077429423370055e-07,4.607742875686171e-07,4.6077429403421667e-07,4.6077429058751917e-07,4.6077429540006756e-07,4.208984516532617e-05,4.6077428917418307e-07,4.6077429388577065e-07,0.008423384199249729,4.6077429092430587e-07,4.6077429034516816e-07,4.607742946326839e-07,874,Fairfield,CT,41.2,-73.2,10.10603976,98.2043578,1.867390972,109.40507509999999,One-family house attached to one or more houses (e.g. a townhouse or condominium),2
742,3.2025005612966864e-07,3.202500524427554e-07,0.4469504194677926,3.2025006249015683e-07,0.0005910552309481193,3.2025005502369327e-07,0.018173805157823433,3.202500601130004e-07,0.024512294300031236,3.202500539419827e-07,3.2025005363730373e-07,3.2025006046735724e-07,3.2025005718703945e-07,0.0054210957228854,3.2025005473310094e-07,0.007402423167523528,3.2025005775687775e-07,0.1851942354839953,0.3109117913531265,0.0008393573652499522,742,taylorsville,UT,40.7,-112.0,6.855657492000001,47.03340979,0.75726832,1931.035034,One-family house detached from any other house,4
946,0.0032941725032087964,0.002435172063574997,0.07105288430861004,0.0035165088653273872,0.0008965890185190341,0.6036031880477201,0.000925705956449985,0.0013782135318501096,0.02129913815170057,0.0027538025046572536,3.5737770984619453e-07,0.00047493556437926777,0.012103958724652718,3.573777129558863e-07,0.09986208770344036,0.008370735803448522,0.0012552682198150502,3.573777142485297e-07,0.09932043134078675,0.06745613555872203,946,Cary,NC,35.8,-78.8,15.40512232,94.05412844,1.698932469,96.75722504,One-family house detached from any other house,4
